
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='leftright', dims=256, ext='0.9_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.9', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/leftright_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/3836 (0%)]	Loss: 0.021157, iou: 0.964399
Validation: [640/3836 (17%)]	Loss: 0.021491, iou: 0.962879
Validation: [1280/3836 (33%)]	Loss: 0.019613, iou: 0.966958
Validation: [1920/3836 (50%)]	Loss: 0.020579, iou: 0.964670
Validation: [2560/3836 (67%)]	Loss: 0.019280, iou: 0.969020
Validation: [3200/3836 (83%)]	Loss: 0.018406, iou: 0.970078
val: iou: 0.964776, bce: 0.006543, dice: 0.035224, loss: 0.020884
!!!!!!!!!!!!!!!!!!!!! savlr

epoch:  1
Train Epoch: 1 [0/34528 (0%)]	Loss: 0.029925, iou: 0.947771
Cross_entropy loss: 0.02992517501115799, mixed_loss : 18620.162109375
Train Epoch: 1 [320/34528 (1%)]	Loss: 0.020101, iou: 0.968855
Cross_entropy loss: 0.020100701600313187, mixed_loss : 16997.998046875
Train Epoch: 1 [640/34528 (2%)]	Loss: 0.021824, iou: 0.963852
Cross_entropy loss: 0.021824097260832787, mixed_loss : 15515.44921875
Train Epoch: 1 [960/34528 (3%)]	Loss: 0.022583, iou: 0.964512
Cross_entropy loss: 0.022582879289984703, mixed_loss : 14157.958984375
Train Epoch: 1 [1280/34528 (4%)]	Loss: 0.039063, iou: 0.929205
Cross_entropy loss: 0.039062824100255966, mixed_loss : 12917.314453125
Train Epoch: 1 [1600/34528 (5%)]	Loss: 0.027203, iou: 0.954922
Cross_entropy loss: 0.02720329351723194, mixed_loss : 11785.1865234375
Train Epoch: 1 [1920/34528 (6%)]	Loss: 0.031367, iou: 0.947910
Cross_entropy loss: 0.0313674621284008, mixed_loss : 10752.197265625
Train Epoch: 1 [2240/34528 (6%)]	Loss: 0.028432, iou: 0.958389
Cross_entropy loss: 0.028431978076696396, mixed_loss : 9809.2333984375
Train Epoch: 1 [2560/34528 (7%)]	Loss: 0.045553, iou: 0.919113
Cross_entropy loss: 0.04555312916636467, mixed_loss : 8947.998046875
Train Epoch: 1 [2880/34528 (8%)]	Loss: 0.042721, iou: 0.924801
Cross_entropy loss: 0.04272137209773064, mixed_loss : 8160.9560546875
Train Epoch: 1 [3200/34528 (9%)]	Loss: 0.037267, iou: 0.937653
Cross_entropy loss: 0.037267398089170456, mixed_loss : 7441.4384765625
Train Epoch: 1 [3520/34528 (10%)]	Loss: 0.042605, iou: 0.925913
Cross_entropy loss: 0.04260466247797012, mixed_loss : 6783.4677734375
Train Epoch: 1 [3840/34528 (11%)]	Loss: 0.057123, iou: 0.902373
Cross_entropy loss: 0.057123348116874695, mixed_loss : 6181.6806640625
Train Epoch: 1 [4160/34528 (12%)]	Loss: 0.043392, iou: 0.929704
Cross_entropy loss: 0.04339160770177841, mixed_loss : 5631.1884765625
Train Epoch: 1 [4480/34528 (13%)]	Loss: 0.054910, iou: 0.904563
Cross_entropy loss: 0.0549103319644928, mixed_loss : 5127.67529296875
Train Epoch: 1 [4800/34528 (14%)]	Loss: 0.039200, iou: 0.941078
Cross_entropy loss: 0.03920021653175354, mixed_loss : 4667.1259765625
Train Epoch: 1 [5120/34528 (15%)]	Loss: 0.051725, iou: 0.915656
