
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='frontback', dims=256, ext='0.9_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.9', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/frontback_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/2821 (0%)]	Loss: 0.019503, iou: 0.969403
Validation: [640/2821 (22%)]	Loss: 0.017614, iou: 0.972244
Validation: [1280/2821 (44%)]	Loss: 0.022107, iou: 0.963410
Validation: [1920/2821 (67%)]	Loss: 0.015705, iou: 0.976266
Validation: [2560/2821 (89%)]	Loss: 0.018153, iou: 0.972016
val: iou: 0.970051, bce: 0.008510, dice: 0.029949, loss: 0.019229
!!!!!!!!!!!!!!!!!!!!! savlr

epoch:  1
Train Epoch: 1 [0/25390 (0%)]	Loss: 0.025862, iou: 0.957875
Cross_entropy loss: 0.025862403213977814, mixed_loss : 14130.1484375
Train Epoch: 1 [320/25390 (1%)]	Loss: 0.019937, iou: 0.969089
Cross_entropy loss: 0.019937369972467422, mixed_loss : 12748.439453125
Train Epoch: 1 [640/25390 (3%)]	Loss: 0.018510, iou: 0.971142
Cross_entropy loss: 0.01850968971848488, mixed_loss : 11498.603515625
Train Epoch: 1 [960/25390 (4%)]	Loss: 0.030944, iou: 0.949112
Cross_entropy loss: 0.030943814665079117, mixed_loss : 10364.11328125
Train Epoch: 1 [1280/25390 (5%)]	Loss: 0.020897, iou: 0.969946
Cross_entropy loss: 0.020897384732961655, mixed_loss : 9337.4658203125
Train Epoch: 1 [1600/25390 (6%)]	Loss: 0.025777, iou: 0.957875
Cross_entropy loss: 0.025776734575629234, mixed_loss : 8410.658203125
Train Epoch: 1 [1920/25390 (8%)]	Loss: 0.024906, iou: 0.961493
Cross_entropy loss: 0.024906035512685776, mixed_loss : 7574.31982421875
Train Epoch: 1 [2240/25390 (9%)]	Loss: 0.031645, iou: 0.946774
Cross_entropy loss: 0.031645119190216064, mixed_loss : 6819.54736328125
Train Epoch: 1 [2560/25390 (10%)]	Loss: 0.025395, iou: 0.962057
Cross_entropy loss: 0.025395305827260017, mixed_loss : 6138.13330078125
Train Epoch: 1 [2880/25390 (11%)]	Loss: 0.034516, iou: 0.945464
Cross_entropy loss: 0.03451579064130783, mixed_loss : 5522.7744140625
Train Epoch: 1 [3200/25390 (13%)]	Loss: 0.031252, iou: 0.951977
Cross_entropy loss: 0.03125234693288803, mixed_loss : 4966.9326171875
Train Epoch: 1 [3520/25390 (14%)]	Loss: 0.039949, iou: 0.941467
Cross_entropy loss: 0.0399492084980011, mixed_loss : 4464.8310546875
Train Epoch: 1 [3840/25390 (15%)]	Loss: 0.034267, iou: 0.945590
Cross_entropy loss: 0.03426728397607803, mixed_loss : 4011.272216796875
Train Epoch: 1 [4160/25390 (16%)]	Loss: 0.031199, iou: 0.953157
Cross_entropy loss: 0.031198952347040176, mixed_loss : 3601.63525390625
Train Epoch: 1 [4480/25390 (18%)]	Loss: 0.040332, iou: 0.939039
Cross_entropy loss: 0.040331993252038956, mixed_loss : 3231.76708984375
Train Epoch: 1 [4800/25390 (19%)]	Loss: 0.046929, iou: 0.924084
Cross_entropy loss: 0.046928681433200836, mixed_loss : 2897.91064453125
Train Epoch: 1 [5120/25390 (20%)]	Loss: 0.040820, iou: 0.937908
Cross_entropy loss: 0.040820199996232986, mixed_loss : 2596.668701171875
Train Epoch: 1 [5440/25390 (21%)]	Loss: 0.034918, iou: 0.951289
Cross_entropy loss: 0.034918274730443954, mixed_loss : 2324.995849609375
Train Epoch: 1 [5760/25390 (23%)]	Loss: 0.042142, iou: 0.939693
Cross_entropy loss: 0.04214223474264145, mixed_loss : 2080.138916015625
Train Epoch: 1 [6080/25390 (24%)]	Loss: 0.060519, iou: 0.900428
Cross_entropy loss: 0.06051934137940407, mixed_loss : 1859.5592041015625
Train Epoch: 1 [6400/25390 (25%)]	Loss: 0.041838, iou: 0.933994
Cross_entropy loss: 0.04183775559067726, mixed_loss : 1660.9444580078125
Train Epoch: 1 [6720/25390 (26%)]	Loss: 0.045485, iou: 0.932215
Cross_entropy loss: 0.04548542946577072, mixed_loss : 1482.276611328125
Train Epoch: 1 [7040/25390 (28%)]	Loss: 0.048051, iou: 0.936118
Cross_entropy loss: 0.04805101081728935, mixed_loss : 1321.651611328125
Train Epoch: 1 [7360/25390 (29%)]	Loss: 0.057116, iou: 0.909729
Cross_entropy loss: 0.05711645260453224, mixed_loss : 1177.3636474609375
Train Epoch: 1 [7680/25390 (30%)]	Loss: 0.049721, iou: 0.927668
Cross_entropy loss: 0.04972086846828461, mixed_loss : 1047.827392578125
Train Epoch: 1 [8000/25390 (31%)]	Loss: 0.056439, iou: 0.914093
Cross_entropy loss: 0.0564388632774353, mixed_loss : 931.6650390625
Train Epoch: 1 [8320/25390 (33%)]	Loss: 0.046165, iou: 0.936356
Cross_entropy loss: 0.04616524651646614, mixed_loss : 827.5621337890625
Train Epoch: 1 [8640/25390 (34%)]	Loss: 0.068579, iou: 0.896231
Cross_entropy loss: 0.06857912242412567, mixed_loss : 734.3717651367188
Train Epoch: 1 [8960/25390 (35%)]	Loss: 0.059565, iou: 0.906978
Cross_entropy loss: 0.05956451594829559, mixed_loss : 650.9984130859375
Train Epoch: 1 [9280/25390 (37%)]	Loss: 0.075939, iou: 0.881351
Cross_entropy loss: 0.07593896985054016, mixed_loss : 576.5130615234375
Train Epoch: 1 [9600/25390 (38%)]	Loss: 0.065496, iou: 0.901005
Cross_entropy loss: 0.0654958188533783, mixed_loss : 509.97943115234375
Train Epoch: 1 [9920/25390 (39%)]	Loss: 0.056186, iou: 0.918143
Cross_entropy loss: 0.056186214089393616, mixed_loss : 450.64361572265625
Train Epoch: 1 [10240/25390 (40%)]	Loss: 0.073229, iou: 0.887437
Cross_entropy loss: 0.07322929799556732, mixed_loss : 397.810546875
Train Epoch: 1 [10560/25390 (42%)]	Loss: 0.102291, iou: 0.828711
Cross_entropy loss: 0.10229121148586273, mixed_loss : 350.8089904785156
Train Epoch: 1 [10880/25390 (43%)]	Loss: 0.060488, iou: 0.904802
