
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='leftright', dims=256, ext='0.99_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.99', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/leftright_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/3836 (0%)]	Loss: 0.021157, iou: 0.964399
Validation: [640/3836 (17%)]	Loss: 0.021491, iou: 0.962879
Validation: [1280/3836 (33%)]	Loss: 0.019613, iou: 0.966958
Validation: [1920/3836 (50%)]	Loss: 0.020579, iou: 0.964670
Validation: [2560/3836 (67%)]	Loss: 0.019280, iou: 0.969020
Validation: [3200/3836 (83%)]	Loss: 0.018406, iou: 0.970078
val: iou: 0.964776, bce: 0.006543, dice: 0.035224, loss: 0.020884
!!!!!!!!!!!!!!!!!!!!! savlr

epoch:  1
Train Epoch: 1 [0/34528 (0%)]	Loss: 0.029925, iou: 0.947771
Cross_entropy loss: 0.02992517501115799, mixed_loss : 32814.69140625
Train Epoch: 1 [320/34528 (1%)]	Loss: 0.022295, iou: 0.964654
Cross_entropy loss: 0.022295493632555008, mixed_loss : 30582.20703125
Train Epoch: 1 [640/34528 (2%)]	Loss: 0.029943, iou: 0.948637
Cross_entropy loss: 0.029942935332655907, mixed_loss : 28506.12890625
Train Epoch: 1 [960/34528 (3%)]	Loss: 0.029943, iou: 0.951349
Cross_entropy loss: 0.029942821711301804, mixed_loss : 26573.59375
Train Epoch: 1 [1280/34528 (4%)]	Loss: 0.055321, iou: 0.897896
Cross_entropy loss: 0.05532144382596016, mixed_loss : 24777.365234375
Train Epoch: 1 [1600/34528 (5%)]	Loss: 0.038323, iou: 0.935193
Cross_entropy loss: 0.038322851061820984, mixed_loss : 23109.384765625
Train Epoch: 1 [1920/34528 (6%)]	Loss: 0.044632, iou: 0.923885
Cross_entropy loss: 0.044631682336330414, mixed_loss : 21560.16015625
Train Epoch: 1 [2240/34528 (6%)]	Loss: 0.045839, iou: 0.928876
Cross_entropy loss: 0.04583936184644699, mixed_loss : 20120.224609375
Train Epoch: 1 [2560/34528 (7%)]	Loss: 0.065192, iou: 0.885580
Cross_entropy loss: 0.06519162654876709, mixed_loss : 18780.84765625
Train Epoch: 1 [2880/34528 (8%)]	Loss: 0.075182, iou: 0.864584
Cross_entropy loss: 0.07518225163221359, mixed_loss : 17534.00390625
Train Epoch: 1 [3200/34528 (9%)]	Loss: 0.054353, iou: 0.908679
Cross_entropy loss: 0.05435306951403618, mixed_loss : 16372.498046875
Train Epoch: 1 [3520/34528 (10%)]	Loss: 0.063054, iou: 0.887527
Cross_entropy loss: 0.06305406987667084, mixed_loss : 15289.90234375
Train Epoch: 1 [3840/34528 (11%)]	Loss: 0.086551, iou: 0.852185
Cross_entropy loss: 0.0865514725446701, mixed_loss : 14280.326171875
Train Epoch: 1 [4160/34528 (12%)]	Loss: 0.073043, iou: 0.872809
Cross_entropy loss: 0.07304258644580841, mixed_loss : 13338.38671875
Train Epoch: 1 [4480/34528 (13%)]	Loss: 0.091327, iou: 0.837779
Cross_entropy loss: 0.09132678061723709, mixed_loss : 12459.287109375
Train Epoch: 1 [4800/34528 (14%)]	Loss: 0.060242, iou: 0.909192
Cross_entropy loss: 0.06024164706468582, mixed_loss : 11638.5048828125
Train Epoch: 1 [5120/34528 (15%)]	Loss: 0.085082, iou: 0.857310
