
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='frontback', dims=256, ext='0.99_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.99', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/frontback_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/2821 (0%)]	Loss: 0.019503, iou: 0.969403
Validation: [640/2821 (22%)]	Loss: 0.017614, iou: 0.972244
Validation: [1280/2821 (44%)]	Loss: 0.022107, iou: 0.963410
Validation: [1920/2821 (67%)]	Loss: 0.015705, iou: 0.976266
Validation: [2560/2821 (89%)]	Loss: 0.018153, iou: 0.972016
val: iou: 0.970051, bce: 0.008510, dice: 0.029949, loss: 0.019229
!!!!!!!!!!!!!!!!!!!!! savlr

epoch:  1
Train Epoch: 1 [0/25390 (0%)]	Loss: 0.025862, iou: 0.957875
Cross_entropy loss: 0.025862403213977814, mixed_loss : 23381.41015625
Train Epoch: 1 [320/25390 (1%)]	Loss: 0.023751, iou: 0.962423
Cross_entropy loss: 0.023751141503453255, mixed_loss : 21561.783203125
Train Epoch: 1 [640/25390 (3%)]	Loss: 0.025552, iou: 0.958472
Cross_entropy loss: 0.02555159479379654, mixed_loss : 19890.185546875
Train Epoch: 1 [960/25390 (4%)]	Loss: 0.037252, iou: 0.938801
Cross_entropy loss: 0.037251703441143036, mixed_loss : 18349.9296875
Train Epoch: 1 [1280/25390 (5%)]	Loss: 0.030384, iou: 0.954112
Cross_entropy loss: 0.030383942648768425, mixed_loss : 16932.80859375
Train Epoch: 1 [1600/25390 (6%)]	Loss: 0.037154, iou: 0.938534
Cross_entropy loss: 0.03715422376990318, mixed_loss : 15630.6513671875
Train Epoch: 1 [1920/25390 (8%)]	Loss: 0.045140, iou: 0.928210
Cross_entropy loss: 0.0451398566365242, mixed_loss : 14433.78125
Train Epoch: 1 [2240/25390 (9%)]	Loss: 0.056273, iou: 0.901049
Cross_entropy loss: 0.05627286061644554, mixed_loss : 13332.8642578125
Train Epoch: 1 [2560/25390 (10%)]	Loss: 0.050126, iou: 0.922871
Cross_entropy loss: 0.050125885754823685, mixed_loss : 12319.30859375
Train Epoch: 1 [2880/25390 (11%)]	Loss: 0.052487, iou: 0.916713
Cross_entropy loss: 0.05248720198869705, mixed_loss : 11385.4052734375
Train Epoch: 1 [3200/25390 (13%)]	Loss: 0.050271, iou: 0.921336
Cross_entropy loss: 0.050270549952983856, mixed_loss : 10524.23046875
Train Epoch: 1 [3520/25390 (14%)]	Loss: 0.064046, iou: 0.899944
Cross_entropy loss: 0.0640457347035408, mixed_loss : 9729.6171875
Train Epoch: 1 [3840/25390 (15%)]	Loss: 0.061185, iou: 0.896041
Cross_entropy loss: 0.0611853189766407, mixed_loss : 8995.9755859375
Train Epoch: 1 [4160/25390 (16%)]	Loss: 0.053052, iou: 0.916981
Cross_entropy loss: 0.053052280098199844, mixed_loss : 8318.30859375
Train Epoch: 1 [4480/25390 (18%)]	Loss: 0.061681, iou: 0.903525
Cross_entropy loss: 0.061681099236011505, mixed_loss : 7692.119140625
Train Epoch: 1 [4800/25390 (19%)]	Loss: 0.070377, iou: 0.883417
Cross_entropy loss: 0.0703773945569992, mixed_loss : 7113.27490234375
Train Epoch: 1 [5120/25390 (20%)]	Loss: 0.062775, iou: 0.901575
Cross_entropy loss: 0.0627751499414444, mixed_loss : 6578.02880859375
Train Epoch: 1 [5440/25390 (21%)]	Loss: 0.059511, iou: 0.906262
Cross_entropy loss: 0.05951087176799774, mixed_loss : 6082.99658203125
Train Epoch: 1 [5760/25390 (23%)]	Loss: 0.067360, iou: 0.895048
Cross_entropy loss: 0.06736023724079132, mixed_loss : 5625.06640625
Train Epoch: 1 [6080/25390 (24%)]	Loss: 0.088287, iou: 0.854009
Cross_entropy loss: 0.088287353515625, mixed_loss : 5201.3857421875
Train Epoch: 1 [6400/25390 (25%)]	Loss: 0.066089, iou: 0.886455
Cross_entropy loss: 0.06608935445547104, mixed_loss : 4809.28125
Train Epoch: 1 [6720/25390 (26%)]	Loss: 0.066033, iou: 0.895986
Cross_entropy loss: 0.06603261828422546, mixed_loss : 4446.419921875
Train Epoch: 1 [7040/25390 (28%)]	Loss: 0.067945, iou: 0.902771
Cross_entropy loss: 0.06794548034667969, mixed_loss : 4110.57421875
Train Epoch: 1 [7360/25390 (29%)]	Loss: 0.084589, iou: 0.860041
Cross_entropy loss: 0.08458903431892395, mixed_loss : 3799.728759765625
Train Epoch: 1 [7680/25390 (30%)]	Loss: 0.080391, iou: 0.873921
Cross_entropy loss: 0.08039083331823349, mixed_loss : 3511.97119140625
Train Epoch: 1 [8000/25390 (31%)]	Loss: 0.087544, iou: 0.857307
Cross_entropy loss: 0.08754382282495499, mixed_loss : 3245.618408203125
Train Epoch: 1 [8320/25390 (33%)]	Loss: 0.061054, iou: 0.910661
Cross_entropy loss: 0.06105365231633186, mixed_loss : 2999.028564453125
Train Epoch: 1 [8640/25390 (34%)]	Loss: 0.096623, iou: 0.842367
Cross_entropy loss: 0.09662291407585144, mixed_loss : 2770.824951171875
Train Epoch: 1 [8960/25390 (35%)]	Loss: 0.085876, iou: 0.857630
Cross_entropy loss: 0.0858762264251709, mixed_loss : 2559.546142578125
Train Epoch: 1 [9280/25390 (37%)]	Loss: 0.090970, iou: 0.847355
Cross_entropy loss: 0.09096954762935638, mixed_loss : 2364.004150390625
Train Epoch: 1 [9600/25390 (38%)]	Loss: 0.099080, iou: 0.843861
Cross_entropy loss: 0.0990799069404602, mixed_loss : 2183.033203125
Train Epoch: 1 [9920/25390 (39%)]	Loss: 0.075863, iou: 0.883252
Cross_entropy loss: 0.07586304843425751, mixed_loss : 2015.5062255859375
Train Epoch: 1 [10240/25390 (40%)]	Loss: 0.092187, iou: 0.854251
Cross_entropy loss: 0.09218741953372955, mixed_loss : 1860.51904296875
Train Epoch: 1 [10560/25390 (42%)]	Loss: 0.142471, iou: 0.761824
Cross_entropy loss: 0.14247113466262817, mixed_loss : 1717.145263671875
Train Epoch: 1 [10880/25390 (43%)]	Loss: 0.077635, iou: 0.874106
