
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='updown', dims=256, ext='0.5_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.5', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/updown_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/2417 (0%)]	Loss: 0.011607, iou: 0.981698
Validation: [640/2417 (26%)]	Loss: 0.011536, iou: 0.982757
Validation: [1280/2417 (53%)]	Loss: 0.011817, iou: 0.981020
Validation: [1920/2417 (79%)]	Loss: 0.011961, iou: 0.980690
val: iou: 0.981184, bce: 0.005247, dice: 0.018816, loss: 0.012032
!!!!!!!!!!!!!!!!!!!!! savlr

epoch:  1
Train Epoch: 1 [0/21756 (0%)]	Loss: 0.012615, iou: 0.980653
Cross_entropy loss: 0.012615455314517021, mixed_loss : 1077.6014404296875
Train Epoch: 1 [320/21756 (1%)]	Loss: 0.013679, iou: 0.979835
Cross_entropy loss: 0.013679327443242073, mixed_loss : 808.7163696289062
Train Epoch: 1 [640/21756 (3%)]	Loss: 0.011129, iou: 0.982554
Cross_entropy loss: 0.01112851407378912, mixed_loss : 598.6546020507812
Train Epoch: 1 [960/21756 (4%)]	Loss: 0.012884, iou: 0.979931
Cross_entropy loss: 0.012884238734841347, mixed_loss : 437.7900695800781
Train Epoch: 1 [1280/21756 (6%)]	Loss: 0.016527, iou: 0.972703
Cross_entropy loss: 0.016527321189641953, mixed_loss : 317.0216064453125
Train Epoch: 1 [1600/21756 (7%)]	Loss: 0.014831, iou: 0.975525
Cross_entropy loss: 0.014830736443400383, mixed_loss : 227.64002990722656
Train Epoch: 1 [1920/21756 (9%)]	Loss: 0.012610, iou: 0.981265
Cross_entropy loss: 0.012610143050551414, mixed_loss : 162.21202087402344
Train Epoch: 1 [2240/21756 (10%)]	Loss: 0.015530, iou: 0.973342
Cross_entropy loss: 0.015530289150774479, mixed_loss : 114.74290466308594
Train Epoch: 1 [2560/21756 (12%)]	Loss: 0.018095, iou: 0.973083
Cross_entropy loss: 0.018095143139362335, mixed_loss : 80.56665802001953
Train Epoch: 1 [2880/21756 (13%)]	Loss: 0.013951, iou: 0.976853
Cross_entropy loss: 0.013950786553323269, mixed_loss : 56.14093017578125
Train Epoch: 1 [3200/21756 (15%)]	Loss: 0.021683, iou: 0.964545
Cross_entropy loss: 0.02168264426290989, mixed_loss : 38.82993698120117
Train Epoch: 1 [3520/21756 (16%)]	Loss: 0.016288, iou: 0.974502
Cross_entropy loss: 0.01628754660487175, mixed_loss : 26.637897491455078
Train Epoch: 1 [3840/21756 (18%)]	Loss: 0.014095, iou: 0.978668
Cross_entropy loss: 0.014095203019678593, mixed_loss : 18.134546279907227
Train Epoch: 1 [4160/21756 (19%)]	Loss: 0.014864, iou: 0.975968
Cross_entropy loss: 0.01486378163099289, mixed_loss : 12.23991584777832
Train Epoch: 1 [4480/21756 (21%)]	Loss: 0.018937, iou: 0.969328
Cross_entropy loss: 0.018936697393655777, mixed_loss : 8.197894096374512
Train Epoch: 1 [4800/21756 (22%)]	Loss: 0.016247, iou: 0.974767
Cross_entropy loss: 0.016246862709522247, mixed_loss : 5.441262245178223
Train Epoch: 1 [5120/21756 (24%)]	Loss: 0.022331, iou: 0.963080
Cross_entropy loss: 0.02233068272471428, mixed_loss : 3.589916229248047
Train Epoch: 1 [5440/21756 (25%)]	Loss: 0.014654, iou: 0.976865
Cross_entropy loss: 0.014654170721769333, mixed_loss : 2.3414149284362793
Train Epoch: 1 [5760/21756 (26%)]	Loss: 0.017159, iou: 0.972895
Cross_entropy loss: 0.017159199342131615, mixed_loss : 1.5214776992797852
Train Epoch: 1 [6080/21756 (28%)]	Loss: 0.019007, iou: 0.969161
Cross_entropy loss: 0.01900670863687992, mixed_loss : 0.9841234683990479
Train Epoch: 1 [6400/21756 (29%)]	Loss: 0.014739, iou: 0.977230
Cross_entropy loss: 0.014738732017576694, mixed_loss : 0.6292811632156372
Train Epoch: 1 [6720/21756 (31%)]	Loss: 0.016525, iou: 0.974209
Cross_entropy loss: 0.016524888575077057, mixed_loss : 0.40510156750679016
Train Epoch: 1 [7040/21756 (32%)]	Loss: 0.020176, iou: 0.967587
Cross_entropy loss: 0.02017604187130928, mixed_loss : 0.26485955715179443
Train Epoch: 1 [7360/21756 (34%)]	Loss: 0.016440, iou: 0.973699
Cross_entropy loss: 0.016440127044916153, mixed_loss : 0.17034585773944855
Train Epoch: 1 [7680/21756 (35%)]	Loss: 0.015484, iou: 0.974010
Cross_entropy loss: 0.015483764000236988, mixed_loss : 0.11337608098983765
Train Epoch: 1 [8000/21756 (37%)]	Loss: 0.015314, iou: 0.975170
Cross_entropy loss: 0.015314207412302494, mixed_loss : 0.07819071412086487
Train Epoch: 1 [8320/21756 (38%)]	Loss: 0.017689, iou: 0.971802
Cross_entropy loss: 0.017689498141407967, mixed_loss : 0.0581209696829319
Train Epoch: 1 [8640/21756 (40%)]	Loss: 0.016087, iou: 0.974664
Cross_entropy loss: 0.016086988151073456, mixed_loss : 0.04215844348073006
Train Epoch: 1 [8960/21756 (41%)]	Loss: 0.018577, iou: 0.970545
Cross_entropy loss: 0.018576741218566895, mixed_loss : 0.038677748292684555
Train Epoch: 1 [9280/21756 (43%)]	Loss: 0.022082, iou: 0.966764
Cross_entropy loss: 0.022081732749938965, mixed_loss : 0.035742443054914474
Train Epoch: 1 [9600/21756 (44%)]	Loss: 0.019947, iou: 0.967939
Cross_entropy loss: 0.019947407767176628, mixed_loss : 0.03064955770969391
Train Epoch: 1 [9920/21756 (46%)]	Loss: 0.014586, iou: 0.976451
Cross_entropy loss: 0.014586172997951508, mixed_loss : 0.023395631462335587
Train Epoch: 1 [10240/21756 (47%)]	Loss: 0.015540, iou: 0.977248
Cross_entropy loss: 0.015540196560323238, mixed_loss : 0.021470727398991585
Train Epoch: 1 [10560/21756 (49%)]	Loss: 0.017708, iou: 0.971016
Cross_entropy loss: 0.01770799048244953, mixed_loss : 0.023169919848442078
Train Epoch: 1 [10880/21756 (50%)]	Loss: 0.014463, iou: 0.979245
Cross_entropy loss: 0.01446262001991272, mixed_loss : 0.01959063671529293
Train Epoch: 1 [11200/21756 (51%)]	Loss: 0.017516, iou: 0.972857
Cross_entropy loss: 0.017516478896141052, mixed_loss : 0.021202698349952698
Train Epoch: 1 [11520/21756 (53%)]	Loss: 0.014052, iou: 0.978590
