
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='updown', dims=256, ext='0.99_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.99', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/updown_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/2417 (0%)]	Loss: 0.011607, iou: 0.981698
Validation: [640/2417 (26%)]	Loss: 0.011536, iou: 0.982757
Validation: [1280/2417 (53%)]	Loss: 0.011817, iou: 0.981020
Validation: [1920/2417 (79%)]	Loss: 0.011961, iou: 0.980690
val: iou: 0.981184, bce: 0.005247, dice: 0.018816, loss: 0.012032
!!!!!!!!!!!!!!!!!!!!! savlr

epoch:  1
Train Epoch: 1 [0/21756 (0%)]	Loss: 0.012615, iou: 0.980653
Cross_entropy loss: 0.012615455314517021, mixed_loss : 15475.6162109375
Train Epoch: 1 [320/21756 (1%)]	Loss: 0.018015, iou: 0.973115
Cross_entropy loss: 0.01801542192697525, mixed_loss : 14028.9609375
Train Epoch: 1 [640/21756 (3%)]	Loss: 0.019343, iou: 0.968553
Cross_entropy loss: 0.019342605024576187, mixed_loss : 12727.3017578125
Train Epoch: 1 [960/21756 (4%)]	Loss: 0.024537, iou: 0.959748
Cross_entropy loss: 0.024537190794944763, mixed_loss : 11550.67578125
Train Epoch: 1 [1280/21756 (6%)]	Loss: 0.034625, iou: 0.940383
Cross_entropy loss: 0.03462454304099083, mixed_loss : 10488.2470703125
Train Epoch: 1 [1600/21756 (7%)]	Loss: 0.038403, iou: 0.934155
Cross_entropy loss: 0.0384034737944603, mixed_loss : 9529.8203125
Train Epoch: 1 [1920/21756 (9%)]	Loss: 0.032168, iou: 0.948092
Cross_entropy loss: 0.03216823935508728, mixed_loss : 8664.4697265625
Train Epoch: 1 [2240/21756 (10%)]	Loss: 0.044738, iou: 0.919425
Cross_entropy loss: 0.04473770037293434, mixed_loss : 7882.15869140625
Train Epoch: 1 [2560/21756 (12%)]	Loss: 0.038313, iou: 0.937554
Cross_entropy loss: 0.038312580436468124, mixed_loss : 7173.91064453125
Train Epoch: 1 [2880/21756 (13%)]	Loss: 0.041364, iou: 0.928213
Cross_entropy loss: 0.0413641631603241, mixed_loss : 6531.9111328125
Train Epoch: 1 [3200/21756 (15%)]	Loss: 0.051163, iou: 0.912372
Cross_entropy loss: 0.051162831485271454, mixed_loss : 5949.310546875
Train Epoch: 1 [3520/21756 (16%)]	Loss: 0.044411, iou: 0.925824
Cross_entropy loss: 0.044410590082407, mixed_loss : 5420.0849609375
Train Epoch: 1 [3840/21756 (18%)]	Loss: 0.045143, iou: 0.927860
Cross_entropy loss: 0.04514347016811371, mixed_loss : 4938.97607421875
Train Epoch: 1 [4160/21756 (19%)]	Loss: 0.054666, iou: 0.905777
Cross_entropy loss: 0.0546661838889122, mixed_loss : 4501.3115234375
Train Epoch: 1 [4480/21756 (21%)]	Loss: 0.059171, iou: 0.900404
Cross_entropy loss: 0.05917142704129219, mixed_loss : 4102.92822265625
Train Epoch: 1 [4800/21756 (22%)]	Loss: 0.056737, iou: 0.906944
Cross_entropy loss: 0.056737322360277176, mixed_loss : 3740.118408203125
Train Epoch: 1 [5120/21756 (24%)]	Loss: 0.058056, iou: 0.900718
Cross_entropy loss: 0.05805642530322075, mixed_loss : 3409.578369140625
Train Epoch: 1 [5440/21756 (25%)]	Loss: 0.062939, iou: 0.898398
Cross_entropy loss: 0.06293851882219315, mixed_loss : 3108.335693359375
Train Epoch: 1 [5760/21756 (26%)]	Loss: 0.084779, iou: 0.857005
Cross_entropy loss: 0.0847788080573082, mixed_loss : 2833.728759765625
Train Epoch: 1 [6080/21756 (28%)]	Loss: 0.087316, iou: 0.861688
Cross_entropy loss: 0.08731602132320404, mixed_loss : 2583.308349609375
Train Epoch: 1 [6400/21756 (29%)]	Loss: 0.067411, iou: 0.890759
Cross_entropy loss: 0.06741142272949219, mixed_loss : 2354.892333984375
Train Epoch: 1 [6720/21756 (31%)]	Loss: 0.071987, iou: 0.881586
Cross_entropy loss: 0.07198682427406311, mixed_loss : 2146.548828125
Train Epoch: 1 [7040/21756 (32%)]	Loss: 0.072570, iou: 0.879619
Cross_entropy loss: 0.07256963849067688, mixed_loss : 1956.4781494140625
Train Epoch: 1 [7360/21756 (34%)]	Loss: 0.085173, iou: 0.854470
Cross_entropy loss: 0.08517324179410934, mixed_loss : 1783.0689697265625
Train Epoch: 1 [7680/21756 (35%)]	Loss: 0.102273, iou: 0.831151
Cross_entropy loss: 0.1022733524441719, mixed_loss : 1624.8468017578125
Train Epoch: 1 [8000/21756 (37%)]	Loss: 0.082877, iou: 0.859279
Cross_entropy loss: 0.08287657052278519, mixed_loss : 1480.447998046875
Train Epoch: 1 [8320/21756 (38%)]	Loss: 0.074438, iou: 0.874472
Cross_entropy loss: 0.07443755865097046, mixed_loss : 1348.6953125
Train Epoch: 1 [8640/21756 (40%)]	Loss: 0.092917, iou: 0.837160
Cross_entropy loss: 0.09291684627532959, mixed_loss : 1228.5032958984375
Train Epoch: 1 [8960/21756 (41%)]	Loss: 0.080984, iou: 0.861109
Cross_entropy loss: 0.0809844583272934, mixed_loss : 1118.8048095703125
Train Epoch: 1 [9280/21756 (43%)]	Loss: 0.090232, iou: 0.855282
Cross_entropy loss: 0.09023236483335495, mixed_loss : 1018.7432250976562
Train Epoch: 1 [9600/21756 (44%)]	Loss: 0.080536, iou: 0.862227
Cross_entropy loss: 0.0805358737707138, mixed_loss : 927.4515991210938
Train Epoch: 1 [9920/21756 (46%)]	Loss: 0.089395, iou: 0.848308
Cross_entropy loss: 0.08939522504806519, mixed_loss : 844.186279296875
Train Epoch: 1 [10240/21756 (47%)]	Loss: 0.079888, iou: 0.878636
Cross_entropy loss: 0.07988783717155457, mixed_loss : 768.25
Train Epoch: 1 [10560/21756 (49%)]	Loss: 0.099795, iou: 0.825606
Cross_entropy loss: 0.09979541599750519, mixed_loss : 699.0316162109375
Train Epoch: 1 [10880/21756 (50%)]	Loss: 0.080483, iou: 0.880455
Cross_entropy loss: 0.08048303425312042, mixed_loss : 635.85791015625
Train Epoch: 1 [11200/21756 (51%)]	Loss: 0.082110, iou: 0.866132
Cross_entropy loss: 0.08211003243923187, mixed_loss : 578.2385864257812
Train Epoch: 1 [11520/21756 (53%)]	Loss: 0.088982, iou: 0.851076
Cross_entropy loss: 0.08898194134235382, mixed_loss : 525.7639770507812
